Energy (keV);Stopping Power (MeV·cm²/g);Dose (kGy)
3000.0;51.22824652344025;107.57931769922453
2999.5;51.233587974568984;107.59053474659487
2999.0;51.2389307474505;107.60175456964606
2998.5;51.24427484261521;107.61297716949194
2998.0;51.249620260593865;107.62420254724712
2997.5;51.25496700191745;107.63543070402666
2997.0;51.26031506711731;107.64666164094636
2996.5;51.26566445672509;107.6578953591227
2996.0;51.27101517127268;107.66913185967263
2995.5;51.27636721129234;107.68037114371391
2995.0;51.28172057731658;107.69161321236481
2994.5;51.287075269878244;107.70285806674431
2994.0;51.29243128951048;107.71410570797202
2993.5;51.2977886367467;107.72535613716806
2993.0;51.30314731212066;107.73660935545338
2992.5;51.308507316166406;107.74786536394946
2992.0;51.313868649418275;107.75912416377838
2991.5;51.319231312410935;107.77038575606296
2991.0;51.324595305679324;107.78165014192659
2990.5;51.3299606297587;107.79291732249328
2990.0;51.335327285184626;107.80418729888771
2989.5;51.34069527249297;107.81546007223525
2989.0;51.3460645922199;107.8267356436618
2988.5;51.351435244901914;107.83801401429402
2988.0;51.35680723107575;107.84929518525908
2987.5;51.36218055127853;107.86057915768491
2987.0;51.36755520604763;107.87186593270003
2986.5;51.372931195920756;107.8831555114336
2986.0;51.37830852143587;107.89444789501535
2985.5;51.38368718313135;107.90574308457583
2985.0;51.38906718154575;107.91704108124608
2984.5;51.394448517218;107.92834188615781
2984.0;51.39983119068737;107.93964550044349
2983.5;51.40521520249335;107.95095192523605
2983.0;51.4106005531758;107.96226116166919
2982.5;51.415987243274884;107.97357321087725
2982.0;51.42137527333102;107.98488807399515
2981.5;51.42676464388503;107.99620575215857
2981.0;51.43215535547793;108.00752624650366
2980.5;51.43754740865115;108.0188495581674
2980.0;51.44294080394633;108.0301756882873
2979.5;51.44833554190551;108.04150463800157
2979.0;51.45373162307098;108.05283640844905
2978.5;51.45912904798538;108.0641710007693
2978.0;51.46452781719159;108.07550841610234
2977.5;51.4699279312329;108.0868486555891
2977.0;51.47532939065282;108.09819172037093
2976.5;51.48073219599522;108.10953761158997
2976.0;51.48613634780428;108.120886330389
2975.5;51.49154184662447;108.1322378779114
2975.0;51.49694869300058;108.14359225530121
2974.5;51.502356887477696;108.15494946370318
2974.0;51.50776643060126;108.16630950426266
2973.5;51.51317732291696;108.17767237812564
2973.0;51.51858956497085;108.1890380864388
2972.5;51.52400315730929;108.2004066303495
2972.0;51.52941810047892;108.21177801100573
2971.5;51.53483439502672;108.22315222955612
2971.0;51.54025204149996;108.23452928714993
2970.5;51.54567104044627;108.24590918493718
2970.0;51.55109139241354;108.25729192406844
2969.5;51.556513097949995;108.268677505695
2969.0;51.56193615760419;108.28006593096879
2968.5;51.56736057192496;108.29145720104242
2968.0;51.572786341461466;108.30285131706908
2967.5;51.578213466763216;108.31424828020276
2967.0;51.583641948379984;108.32564809159798
2966.5;51.58907178686189;108.33705075240998
2966.0;51.59450298275938;108.3484562637947
2965.5;51.59993553662315;108.35986462690862
2965.0;51.6053694490043;108.37127584290903
2964.5;51.61080472045418;108.38268991295378
2964.0;51.616241351524486;108.39410683820142
2963.5;51.62167934276721;108.40552661981116
2963.0;51.6271186947347;108.41694925894285
2962.5;51.63255940797957;108.4283747567571
2962.0;51.6380014830548;108.43980311441508
2961.5;51.643444920513645;108.45123433307867
2961.0;51.64888972090971;108.4626684139104
2960.5;51.654335884796886;108.47410535807346
2960.0;51.659783412729425;108.4855451667318
2959.5;51.665232305261846;108.49698784104987
2959.0;51.67068256294902;108.50843338219295
2958.5;51.67613418634614;108.5198817913269
2958.0;51.681587176008684;108.53133306961824
2957.5;51.687041532492515;108.54278721823428
2957.0;51.692497256353725;108.55424423834283
2956.5;51.697954348148805;108.56570413111251
2956.0;51.70341280843452;108.57716689771249
2955.5;51.70887263776798;108.58863253931278
2955.0;51.714333836706594;108.60010105708386
2954.5;51.71979640580811;108.61157245219704
2954.0;51.725260345630595;108.62304672582425
2953.5;51.730725656732425;108.6345238791381
2953.0;51.73619233967229;108.64600391331182
2952.5;51.74166039500924;108.6574868295194
2952.0;51.747129823302615;108.6689726289355
2951.5;51.75260062511207;108.68046131273535
2951.0;51.75807280099763;108.69195288209502
2950.5;51.76354635151957;108.70344733819111
2950.0;51.76902127723857;108.71494468220101
2949.5;51.77449757871555;108.72644491530265
2949.0;51.779975256511825;108.73794803867483
2948.5;51.78545431118898;108.74945405349686
2948.0;51.790934743308966;108.76096296094883
2947.5;51.796416553434035;108.77247476221149
2947.0;51.80189974212676;108.7839894584662
2946.5;51.80738430995004;108.79550705089508
2946.0;51.81287025746712;108.80702754068095
2945.5;51.818357585241536;108.81855092900723
2945.0;51.82384629383719;108.83007721705812
2944.5;51.82933638381826;108.84160640601834
2944.0;51.8348278557493;108.85313849707354
2943.5;51.84032071019516;108.86467349140983
2943.0;51.84581494772104;108.87621139021418
2942.5;51.85131056889242;108.8877521946741
2942.0;51.85680757427516;108.89929590597784
2941.5;51.86230596443541;108.91084252531437
2941.0;51.867805739939655;108.92239205387328
2940.5;51.87330690135473;108.93394449284494
2940.0;51.87880944924778;108.94549984342035
2939.5;51.88431338418628;108.9570581067912
2939.0;51.88981870673801;108.96861928414982
2938.5;51.89532541747115;108.98018337668941
2938.0;51.9008335169541;108.99175038560362
2937.5;51.90634300575568;109.00332031208694
2937.0;51.91185388444501;109.01489315733451
2936.5;51.91736615359155;109.02646892254226
2936.0;51.92287981376504;109.0380476089066
2935.5;51.92839486553562;109.04962921762481
2935.0;51.93391130947372;109.06121374989482
2934.5;51.93942914615011;109.07280120691524
2934.0;51.94494837613588;109.08439158988536
2933.5;51.95046900000247;109.09598490000519
2933.0;51.95599101832163;109.10758113847544
2932.5;51.96151443166547;109.1191803064975
2932.0;51.967039240606404;109.13078240527345
2931.5;51.97256544571719;109.14238743600609
2931.0;51.978093047570916;109.15399539989893
2930.5;51.98362204674102;109.16560629815613
2930.0;51.98915244380121;109.17722013198255
2929.5;51.994684239325636;109.18883690258384
2929.0;52.000217433888686;109.20045661116625
2928.5;52.00575202806511;109.21207925893674
2928.0;52.011288022430016;109.22370484710304
2927.5;52.01682541755878;109.23533337687344
2927.0;52.02236421402723;109.24696484945719
2926.5;52.027904412411424;109.258599266064
2926.0;52.03344601328776;109.2702366279043
2925.5;52.038989017233035;109.28187693618938
2925.0;52.044533424824344;109.29352019213113
2924.5;52.050079236639114;109.30516639694214
2924.0;52.05562645325509;109.31681555183567
2923.5;52.06117507525042;109.32846765802589
2923.0;52.066725103203495;109.34012271672735
2922.5;52.072276537693135;109.35178072915559
2922.0;52.077829379298436;109.36344169652672
2921.5;52.08338362859884;109.37510562005755
2921.0;52.08893928617415;109.38677250096572
2920.5;52.0944963526045;109.39844234046947
2920.0;52.10005482847034;109.41011513978772
2919.5;52.10561471435246;109.42179090014018
2919.0;52.11117601083204;109.43346962274728
2918.5;52.116738718490524;109.4451513088301
2918.0;52.122302837909736;109.45683595961046
2917.5;52.12786836967186;109.46852357631091
2917.0;52.13343531435936;109.48021416015466
2916.5;52.13900367255509;109.49190771236569
2916.0;52.144573444842216;109.50360423416865
2915.5;52.150144631804274;109.51530372678897
2915.0;52.15571723402511;109.52700619145274
2914.5;52.16129125208892;109.53871162938674
2914.0;52.16686668658025;109.55042004181854
2913.5;52.17244353808397;109.56213142997635
2913.0;52.17802180718533;109.5738457950892
2912.5;52.18360149446987;109.58556313838673
2912.0;52.18918260052349;109.59728346109934
2911.5;52.194765125932456;109.60900676445816
2911.0;52.200349071283355;109.62073304969505
2910.5;52.205934437163116;109.63246231804256
2910.0;52.21152122415902;109.64419457073394
2909.5;52.21710943285869;109.65592980900325
2909.0;52.22269906385009;109.6676680340852
2908.5;52.22829011772153;109.6794092472152
2908.0;52.233882595061644;109.69115344962947
2907.5;52.23947649645945;109.70290064256486
2907.0;52.24507182250429;109.71465082725904
2906.5;52.25066857378586;109.72640400495031
2906.0;52.25626675089416;109.73816017687773
2905.5;52.26186635441959;109.74991934428114
2905.0;52.267467384952866;109.76168150840101
2904.5;52.27306984308505;109.7734466704786
2904.0;52.27867372940757;109.78521483175591
2903.5;52.28427904451221;109.79698599347564
2903.0;52.28988578899102;109.80876015688115
2902.5;52.295493963436506;109.82053732321667
2902.0;52.30110356844147;109.83231749372707
2901.5;52.30671460459904;109.84410066965799
2901.0;52.31232707250271;109.85588685225571
2900.5;52.317940972746364;109.86767604276737
2900.0;52.32355630592416;109.87946824244072
2899.5;52.32917307263065;109.89126345252438
2899.0;52.334791273460766;109.90306167426762
2898.5;52.340410909009705;109.91486290892038
2898.0;52.346031979873075;109.92666715773346
2897.5;52.35165448664682;109.93847442195833
2897.0;52.357278429927234;109.95028470284718
2896.5;52.36290381031095;109.96209800165299
2896.0;52.368530628394964;109.97391431962942
2895.5;52.37415888477664;109.98573365803095
2895.0;52.37978858005365;109.99755601811266
2894.5;52.385419714824046;110.00938140113051
2894.0;52.39105228968622;110.02120980834108
2893.5;52.39668630523894;110.03304124100177
2893.0;52.40232176208131;110.04487570037075
2892.5;52.407958660812746;110.05671318770676
2892.0;52.413597002033114;110.06855370426955
2891.5;52.41923678634253;110.08039725131931
2891.0;52.42487801434152;110.0922438301172
2890.5;52.43052068663096;110.10409344192503
2890.0;52.43616480381207;110.11594608800536
2889.5;52.44181036648643;110.12780176962151
2889.0;52.447457375255965;110.13966048803753
2888.5;52.453105830722954;110.15152224451822
2888.0;52.458755733490015;110.16338704032904
2887.5;52.46440708416019;110.1752548767364
2887.0;52.47005988333683;110.18712575500734
2886.5;52.4757141316236;110.19899967640956
2886.0;52.48136982962458;110.21087664221163
2885.5;52.48702697794421;110.22275665368284
2885.0;52.49268557718723;110.23463971209318
2884.5;52.49834562795881;110.24652581871352
2884.0;52.50400713086441;110.25841497481527
2883.5;52.5096700865099;110.2703071816708
2883.0;52.515334495501456;110.28220244055305
2882.5;52.52100035844567;110.29410075273591
2882.0;52.52666767594945;110.30600211949383
2881.5;52.53233644862007;110.31790654210216
2881.0;52.53800667706518;110.32981402183688
2880.5;52.54367836189279;110.34172455997485
2880.0;52.54935150371122;110.35363815779357
2879.5;52.55502610312922;110.36555481657138
2879.0;52.56070216075586;110.3774745375873
2878.5;52.56637967720056;110.38939732212118
2878.0;52.57205865307312;110.40132317145357
2877.5;52.577739088983755;110.4132520868659
2877.0;52.58342098554291;110.42518406964011
2876.5;52.58910434336149;110.43711912105914
2876.0;52.59478916305075;110.44905724240658
2875.5;52.60047544522227;110.46099843496677
2875.0;52.60616319048805;110.47294270002492
2874.5;52.61185239946039;110.48489003886682
2874.0;52.61754307275201;110.49684045277921
2873.5;52.623235210975935;110.50879394304947
2873.0;52.62892881474561;110.52075051096578
2872.5;52.63462388467479;110.53271015781705
2872.0;52.64032042137765;110.54467288489307
2871.5;52.64601842546869;110.55663869348426
2871.0;52.65171789756276;110.5686075848818
2870.5;52.65741883827514;110.5805795603778
2870.0;52.6631212482214;110.59255462126495
2869.5;52.66882512801754;110.60453276883685
2869.0;52.67453047827987;110.61651400438774
2868.5;52.680237299625105;110.62849832921273
2868.0;52.68594559267031;110.64048574460764
2867.5;52.691655358032904;110.65247625186912
2867.0;52.69736659633072;110.66446985229452
2866.5;52.7030793081819;110.67646654718199
2866.0;52.70879349420499;110.68846633783048
2865.5;52.71450915501887;110.70046922553962
2865.0;52.72022629124284;110.71247521160997
2864.5;52.72594490349652;110.7244842973427
2864.0;52.73166499239994;110.73649648403989
2863.5;52.73738655857346;110.74851177300427
2863.0;52.74310960263782;110.76053016553944
2862.5;52.74883412521414;110.7725516629497
2862.0;52.75456012692391;110.78457626654021
2861.5;52.76028760838897;110.79660397761685
2861.0;52.766016570231564;110.80863479748629
2860.5;52.771747013074275;110.82066872745598
2860.0;52.77747893754006;110.83270576883413
2859.5;52.78321234425226;110.84474592292975
2859.0;52.7889472338346;110.85678919105266
2858.5;52.79468360691114;110.8688355745134
2858.0;52.80042146410636;110.88088507462336
2857.5;52.806160806045035;110.89293769269459
2857.0;52.8119016333524;110.90499343004004
2856.5;52.817643946654;110.9170522879734
2856.0;52.82338774657581;110.92911426780921
2855.5;52.82913303374412;110.94117937086266
2855.0;52.83487980878563;110.95324759844982
2854.5;52.840628072327384;110.9653189518875
2854.0;52.84637782499685;110.9773934324934
2853.5;52.85212906742181;110.9894710415858
2853.0;52.85788180023046;111.00155178048398
2852.5;52.8636360240514;111.01363565050796
2852.0;52.86939173951352;111.02572265297837
2851.5;52.87514894724614;111.0378127892169
2851.0;52.88090764787897;111.04990606054585
2850.5;52.886667842042066;111.06200246828834
2850.0;52.892429530365874;111.07410201376834
2849.5;52.89819271348121;111.08620469831054
2849.0;52.903957392019265;111.09831052324046
2848.5;52.90972356661162;111.11041948988439
2848.0;52.91549123789022;111.12253159956947
2847.5;52.9212604064874;111.13464685362354
2847.0;52.92703107303588;111.14676525337535
2846.5;52.93280323816874;111.15888680015436
2846.0;52.93857690251943;111.1710114952908
2845.5;52.94435206672183;111.18313934011584
2845.0;52.95012873141012;111.19527033596127
2844.5;52.95590689721896;111.20740448415981
2844.0;52.96168656478331;111.21954178604494
2843.5;52.96746773473851;111.2316822429509
2843.0;52.97325040772035;111.24382585621274
2842.5;52.979034584364925;111.25597262716636
2842.0;52.98482026530875;111.26812255714839
2841.5;52.990607451188744;111.28027564749637
2841.0;52.99639614264216;111.29243189954853
2840.5;53.00218634030665;111.30459131464397
2840.0;53.00797804482026;111.31675389412257
2839.5;53.0137712568214;111.32891963932494
2839.0;53.0195659769489;111.34108855159269
2838.5;53.02536220584191;111.353260632268
2838.0;53.03115994414003;111.36543588269407
2837.5;53.03695919248322;111.37761430421477
2837.0;53.0427599515118;111.38979589817478
2836.5;53.04856222186649;111.40198066591964
2836.0;53.05436600418843;111.4141686087957
2835.5;53.060171299119105;111.42635972815012
2835.0;53.06597810730036;111.43855402533077
2834.5;53.07178642937452;111.45075150168651
2834.0;53.07759626598422;111.46295215856686
2833.5;53.08340761777248;111.4751559973222
2833.0;53.08922048538274;111.48736301930377
2832.5;53.095034869458814;111.49957322586353
2832.0;53.10085077064492;111.51178661835432
2831.5;53.106668189585605;111.52400319812976
2831.0;53.112487126925885;111.53622296654437
2830.5;53.11830758331111;111.54844592495333
2830.0;53.124129559387036;111.56067207471278
2829.5;53.12995305579982;111.57290141717962
2829.0;53.13577807319596;111.58513395371152
2828.5;53.14160461222242;111.59736968566709
2828.0;53.14743267352649;111.60960861440563
2827.5;53.15326225775588;111.62185074128736
2827.0;53.15909336555867;111.63409606767321
2826.5;53.16492599758337;111.64634459492508
2826.0;53.17076015447884;111.65859632440558
2825.5;53.17659583689436;111.67085125747815
2825.0;53.182433045479556;111.68310939550707
2824.5;53.18827178088452;111.6953707398575
2824.0;53.19411204375966;111.70763529189529
2823.5;53.19995383475584;111.71990305298726
2823.0;53.20579715452428;111.73217402450099
2822.5;53.2116420037166;111.74444820780487
2822.0;53.217488382984804;111.7567256042681
2821.5;53.22333629298134;111.76900621526082
2821.0;53.229185734358964;111.78129004215384
2820.5;53.23503670777092;111.79357708631892
2820.0;53.24088921387077;111.80586734912863
2819.5;53.24674325331252;111.8181608319563
2819.0;53.25259882675057;111.83045753617621
2818.5;53.25845593483964;111.84275746316324
2818.0;53.26431457823498;111.85506061429346
2817.5;53.27017475759213;111.86736699094348
2817.0;53.27603647356709;111.87967659449089
2816.5;53.281899726816164;111.89198942631394
2816.0;53.28776451799616;111.90430548779194
2815.5;53.29363084776425;111.91662478030491
2815.0;53.29949871677798;111.92894730523378
2814.5;53.305368125695296;111.94127306396014
2814.0;53.311239075174576;111.95360205786662
2813.5;53.31711156587458;111.96593428833663
2813.0;53.32298559845447;111.9782697567544
2812.5;53.32886117357378;111.99060846450494
2812.0;53.33473829189247;112.0029504129742
2811.5;53.34061695407092;112.01529560354894
2811.0;53.34649716076985;112.0276440376167
2810.5;53.352378912650465;112.03999571656597
2810.0;53.358262210374264;112.05235064178596
2809.5;53.364147054603265;112.06470881466687
2809.0;53.37003344599981;112.07707023659961
2808.5;53.375921385226654;112.08943490897597
2808.0;53.381810872947;112.1018028331887
2807.5;53.387701909824344;112.11417401063113
2807.0;53.39359449652275;112.1265484426978
2806.5;53.39948863370654;112.13892613078374
2806.0;53.405384322040526;112.15130707628511
2805.5;53.41128156218986;112.16369128059873
2805.0;53.41718035482018;112.17607874512237
2804.5;53.423080700597424;112.1884694712546
2804.0;53.42898260018803;112.20086346039486
2803.5;53.43488605425881;112.2132607139435
2803.0;53.440791063476944;112.22566123330158
2802.5;53.44669762851006;112.23806501987114
2802.0;53.452605750026194;112.25047207505501
2801.5;53.45851542869378;112.26288240025693
2801.0;53.46442666518163;112.27529599688143
2800.5;53.470339460159025;112.28771286633395
2800.0;53.47625381429559;112.30013301002074
2799.5;53.48216972826139;112.31255642934893
2799.0;53.48808720272691;112.3249831257265
2798.5;53.49400623836301;112.33741310056233
2798.0;53.499926835840974;112.34984635526605
2797.5;53.50584899583253;112.36228289124833
2797.0;53.51177271900977;112.37472270992052
2796.5;53.51769800604519;112.3871658126949
2796.0;53.52362485761175;112.39961220098469
2795.5;53.52955327438277;112.41206187620382
2795.0;53.53548325703199;112.42451483976718
2794.5;53.54141480623358;112.43697109309053
2794.0;53.54734792266214;112.4494306375905
